tileid,class,quantile
91930,2,0.109
91931,2,0.273
91933,2,0.155
91934,3,0.566
91940,1,0.044
91941,3,0.738
91942,4,0.984
91943,1,0.006
91944,2,0.101
91946,1,0.05
92094,2,0.217
92095,2,0.141
92096,1,0.056
92097,2,0.118
92098,1,0.014
92099,1,0.012
92107,1,0.02
92339,1,0.084
92640,1,0.059
92641,1,0.027
92642,1,0.036
92643,3,0.537
92644,2,0.131
92645,4,0.997
92646,4,0.998
92647,2,0.142
92649,3,0.56
92650,4,0.971
92651,3,0.837
92652,3,0.657
92653,2,0.251
92798,2,0.127
92803,1,0.024
92804,1,0.035
92805,3,0.78
92806,1,0.054
92832,1,0.0
93045,1,0.048
93341,1,0.031
93352,2,0.128
93353,3,0.53
93355,4,1.0
93356,3,0.55
93357,2,0.459
93358,2,0.364
93359,4,1.0
93360,4,1.0
93361,3,0.804
93362,1,0.097
93364,2,0.111
93365,1,0.011
93366,1,0.001
93367,1,0.095
93368,1,0.091
93369,1,0.0
93487,1,0.019
93507,1,0.006
93513,2,0.127
93514,1,0.062
94051,1,0.054
94058,1,0.045
94061,3,0.524
94062,1,0.033
94063,3,0.648
94065,1,0.043
94066,3,0.57
94067,3,0.898
94069,2,0.213
94070,2,0.154
94072,1,0.054
94074,2,0.211
94075,1,0.075
94077,1,0.068
94214,2,0.148
94493,1,0.003
94739,2,0.236
94766,1,0.06
94767,1,0.048
94769,3,0.801
94771,2,0.264
94772,1,0.023
94773,4,1.0
94774,4,0.986
94775,4,0.957
94777,4,1.0
94778,4,1.0
94782,1,0.02
94786,2,0.217
94924,1,0.097
95473,1,0.066
95476,1,0.023
95478,4,1.0
95479,1,0.049
95480,1,0.059
95481,2,0.122
95482,4,0.997
95483,4,1.0
95485,4,1.0
95486,3,0.678
95488,1,0.049
95489,4,0.909
95491,1,0.066
95631,1,0.055
95671,4,1.0
95875,1,0.016
96175,1,0.024
96181,1,0.046
96185,2,0.14
96186,2,0.127
96187,3,0.52
96189,3,0.551
96190,2,0.269
96191,2,0.136
96197,1,0.044
96202,2,0.473
96203,3,0.894
96339,1,0.056
96340,2,0.379
96883,1,0.022
96891,2,0.113
96892,1,0.046
96901,1,0.046
96903,1,0.048
96904,2,0.213
96905,3,0.675
96912,1,0.012
97049,1,0.001
97050,1,0.004
97087,4,1.0
97605,2,0.145
97610,2,0.121
97611,2,0.173
97612,1,0.012
97613,1,0.013
97614,1,0.078
97615,1,0.042
97620,3,0.516
97770,1,0.002
97794,4,1.0
97795,4,1.0
98293,1,0.0
98320,2,0.125
98323,1,0.056
98328,2,0.12
98468,1,0.012
98475,1,0.001
98502,4,1.0
98503,4,1.0
98504,4,1.0
98702,1,0.006
99020,1,0.037
99023,2,0.132
99033,1,0.056
99182,1,0.044
99211,2,0.141
99212,2,0.15
99684,2,0.182
99726,2,0.129
99729,1,0.021
99887,2,0.391
99923,1,0.0
100398,1,0.005
100406,1,0.012
100431,2,0.118
100435,1,0.041
100453,1,0.033
100584,1,0.014
100594,1,0.001
