tileid,class,quantile
93364,2,0.188
93365,1,0.022
93366,1,0.009
93367,1,0.091
93368,1,0.091
93487,1,0.027
93507,2,0.246
93513,2,0.276
93514,3,0.564
94051,1,0.099
94058,1,0.097
94061,2,0.206
94062,2,0.204
94063,2,0.433
94065,2,0.123
94066,2,0.141
94067,2,0.481
94069,2,0.188
94072,2,0.133
94074,3,0.503
94075,3,0.512
94077,2,0.174
94214,2,0.16
94493,1,0.033
94739,2,0.364
94766,1,0.083
94767,2,0.174
94769,2,0.416
94772,1,0.068
94773,2,0.324
94774,3,0.67
94775,2,0.448
94778,2,0.396
94782,2,0.183
94786,2,0.183
95476,2,0.139
95478,3,0.791
95479,1,0.087
95480,1,0.1
95481,1,0.096
95482,3,0.642
95483,4,0.998
95485,3,0.802
95486,3,0.809
95488,2,0.178
95489,2,0.346
95491,2,0.153
95631,1,0.051
95875,1,0.074
96175,1,0.059
96181,1,0.06
96185,1,0.074
96186,2,0.304
96187,2,0.125
96189,2,0.107
96190,1,0.07
96191,1,0.059
96197,2,0.151
96202,2,0.274
96203,2,0.167
96339,2,0.401
96883,1,0.034
96891,2,0.126
96892,2,0.134
96901,2,0.256
96903,2,0.18
96904,2,0.251
96905,2,0.476
96912,1,0.018
97049,1,0.028
97050,1,0.029
97605,1,0.08
97611,2,0.172
97612,1,0.036
97613,1,0.045
97614,2,0.167
97615,2,0.133
97770,1,0.041
97794,2,0.251
98320,2,0.103
98323,1,0.037
98468,1,0.03
98475,1,0.037
98702,1,0.039
99020,1,0.076
99023,1,0.09
99033,1,0.034
99211,1,0.048
99212,2,0.195
99684,1,0.059
99726,2,0.12
99729,1,0.072
99887,4,0.928
100398,1,0.043
100406,1,0.064
100431,1,0.063
100584,1,0.014
100594,1,0.016
100595,1,0.008
101108,2,0.247
101812,1,0.085
101850,1,0.021
101861,1,0.056
102240,1,0.064
102513,1,0.065
102520,1,0.058
102547,1,0.095
102559,1,0.059
102560,2,0.147
102561,2,0.145
102724,1,0.041
103252,1,0.059
103268,1,0.056
103269,1,0.024
103434,1,0.052
103435,2,0.193
104129,1,0.046
104151,1,0.035
104699,2,0.255
104702,2,0.134
104807,1,0.037
104862,1,0.038
105337,2,0.166
105545,1,0.039
105556,2,0.136
106053,2,0.182
106262,3,0.754
106264,1,0.046
106752,2,0.164
107534,3,0.732
107535,2,0.133
107536,1,0.072
107639,2,0.103
107644,1,0.081
107668,1,0.04
107669,1,0.034
107670,2,0.113
108166,1,0.003
108167,1,0.011
108170,2,0.305
108243,2,0.491
108348,1,0.037
108354,2,0.246
108582,1,0.056
108874,1,0.053
108875,2,0.114
108917,1,0.084
109083,1,0.078
109108,1,0.042
109662,3,0.686
110370,2,0.134
110495,2,0.293
110498,2,0.104
110523,1,0.005
110524,1,0.008
111056,1,0.083
111400,4,1.0
111725,1,0.086
111787,3,0.53
111789,2,0.113
111893,1,0.091
112411,1,0.04
112487,1,0.093
112492,2,0.159
112595,3,0.565
112634,2,0.142
112638,1,0.027
112863,1,0.043
113149,1,0.038
113303,1,0.057
113343,1,0.03
113505,1,0.04
113507,1,0.041
113509,1,0.079
113510,1,0.08
113826,1,0.05
113835,1,0.061
113912,2,0.457
113913,2,0.338
113914,2,0.113
113915,1,0.021
114206,2,0.169
114207,2,0.236
114208,1,0.017
114209,1,0.059
114210,1,0.049
114211,1,0.021
114212,1,0.028
114213,2,0.12
114214,2,0.162
114215,2,0.277
114622,2,0.172
114623,1,0.058
114723,1,0.051
114909,4,1.0
114910,3,0.56
114911,1,0.043
114912,4,0.999
114913,2,0.137
114914,1,0.086
114915,2,0.142
114916,1,0.01
114917,1,0.009
114918,2,0.172
114919,2,0.142
114920,2,0.278
114921,2,0.366
115304,2,0.128
115322,2,0.417
115329,2,0.162
115331,1,0.046
115479,3,0.519
115614,3,0.633
115615,4,1.0
115616,1,0.043
115617,2,0.179
115618,1,0.078
115619,2,0.216
115620,1,0.067
115621,1,0.032
115622,2,0.318
115623,1,0.013
115624,1,0.007
115625,1,0.05
115626,1,0.023
115627,4,0.924
115628,2,0.471
115949,2,0.158
116156,1,0.089
116184,1,0.086
116186,3,0.678
116187,1,0.014
116320,4,1.0
116321,4,1.0
116322,3,0.773
116323,1,0.044
116324,1,0.013
116325,1,0.012
116326,1,0.004
116327,1,0.003
116328,1,0.021
116329,1,0.012
116330,1,0.016
116331,1,0.016
116332,1,0.024
116333,2,0.119
116335,4,0.963
116336,4,0.976
116717,1,0.078
116746,2,0.444
116864,1,0.045
116888,2,0.127
116895,1,0.068
117028,3,0.769
117029,2,0.121
117030,1,0.001
117031,1,0.004
117032,1,0.005
117033,1,0.007
117430,2,0.105
117454,1,0.05
117549,1,0.05
117551,1,0.088
117569,1,0.008
117735,3,0.678
117736,2,0.129
117764,3,0.514
117790,2,0.144
118071,2,0.23
118134,2,0.104
118147,2,0.242
118158,2,0.13
118270,1,0.028
118298,2,0.17
118311,1,0.027
118441,4,0.992
118442,2,0.139
118443,1,0.032
118444,2,0.119
118471,1,0.022
118472,3,0.544
118473,4,1.0
118854,4,0.971
118855,4,1.0
118964,1,0.064
119000,2,0.152
119150,2,0.198
119151,1,0.008
